Scheduler,Partitions,Parallelism,Shuffle Partitions,Average Time,Average CPU
FIFO,1,1,1,27.702058100700377,5.83
FAIR,1,1,1,26.814797139167787,11.15
FIFO,1,1,26,26.534924745559692,11.38
FAIR,1,1,26,26.495896291732787,11.239999999999998
FIFO,1,1,51,26.722409391403197,11.440000000000001
FAIR,1,1,51,26.682823419570923,10.92
FIFO,1,1,76,26.59302306175232,11.360000000000001
FAIR,1,1,76,26.48756444454193,10.8
FIFO,1,1,101,26.63484764099121,11.46
FAIR,1,1,101,26.683787393569947,11.72
FIFO,1,1,126,27.074319863319396,11.55
FAIR,1,1,126,26.818773007392885,11.35
FIFO,1,26,1,26.99489712715149,12.38
